,name,color
0,0,yellow
1,1,pink
2,2,gray
3,3,orange
4,4,white
5,5,orange
6,6,yellow
7,7,red
8,8,blue
9,9,gray
10,10,red
11,11,blue
12,12,orange
13,13,black
14,14,green
15,15,gray
16,16,white
17,17,black
18,18,gray
19,19,red
20,20,gray
21,21,blue
22,22,pink
23,23,yellow
24,24,red
25,25,black
26,26,purple
27,27,pink
28,28,yellow
29,29,black
30,30,pink
31,31,green
32,32,blue
33,33,yellow
34,34,purple
35,35,white
36,36,gray
37,37,pink
38,38,green
39,39,blue
40,40,black
41,41,orange
42,42,white
43,43,purple
44,44,purple
45,45,orange
46,46,pink
47,47,pink
48,48,yellow
49,49,orange
50,50,purple
51,51,blue
52,52,blue
53,53,red
54,54,red
55,55,gray
56,56,green
57,57,green
58,58,black
59,59,yellow
60,60,blue
61,61,pink
62,62,gray
63,63,pink
64,64,blue
65,65,black
66,66,purple
67,67,yellow
68,68,purple
69,69,purple
70,70,white
71,71,blue
72,72,red
73,73,orange
74,74,black
75,75,purple
76,76,red
77,77,yellow
78,78,green
79,79,blue
80,80,black
81,81,orange
82,82,purple
83,83,blue
84,84,red
85,85,blue
86,86,black
87,87,gray
88,88,black
89,89,blue
90,90,blue
91,91,red
92,92,gray
93,93,purple
94,94,pink
95,95,black
96,96,blue
97,97,black
98,98,orange
99,99,black
100,100,blue
101,101,orange
102,102,black
103,103,white
104,104,yellow
105,105,pink
106,106,white
107,107,yellow
108,108,orange
109,109,black
110,110,purple
111,111,red
112,112,pink
113,113,orange
114,114,yellow
115,115,blue
116,116,orange
117,117,pink
118,118,gray
119,119,orange
120,120,red
121,121,gray
122,122,orange
123,123,white
124,124,white
125,125,orange
126,126,blue
127,127,white
128,128,purple
129,129,green
130,130,white
131,131,blue
132,132,blue
133,133,pink
134,134,gray
135,135,pink
136,136,purple
137,137,red
138,138,red
139,139,gray
140,140,yellow
141,141,pink
142,142,white
143,143,green
144,144,blue
145,145,orange
146,146,pink
147,147,blue
148,148,yellow
149,149,black
150,150,white
151,151,blue
152,152,orange
153,153,gray
154,154,orange
155,155,black
156,156,white
157,157,red
158,158,gray
159,159,yellow
160,160,green
161,161,pink
162,162,pink
163,163,yellow
164,164,green
165,165,white
166,166,blue
167,167,yellow
168,168,orange
169,169,yellow
170,170,pink
171,171,gray
172,172,pink
173,173,white
174,174,green
175,175,black
176,176,green
177,177,green
178,178,white
179,179,yellow
180,180,pink
181,181,gray
182,182,gray
183,183,red
184,184,green
185,185,blue
186,186,orange
187,187,yellow
188,188,white
189,189,green
190,190,yellow
191,191,purple
192,192,pink
193,193,yellow
194,194,pink
195,195,blue
196,196,purple
197,197,white
198,198,gray
199,199,yellow
200,200,red
201,201,yellow
202,202,pink
203,203,green
204,204,pink
205,205,white
206,206,purple
207,207,white
208,208,blue
209,209,red
210,210,white
211,211,green
212,212,blue
213,213,orange
214,214,pink
215,215,orange
216,216,orange
217,217,gray
218,218,blue
219,219,yellow
220,220,purple
221,221,gray
222,222,yellow
223,223,red
224,224,purple
225,225,black
226,226,purple
227,227,pink
228,228,gray
229,229,purple
230,230,white
231,231,blue
232,232,black
233,233,blue
234,234,red
235,235,blue
236,236,green
237,237,gray
238,238,black
239,239,white
240,240,blue
241,241,black
242,242,white
243,243,red
244,244,purple
245,245,black
246,246,green
247,247,orange
248,248,green
249,249,red
250,250,pink
251,251,red
252,252,black
253,253,orange
254,254,blue
255,255,green
256,256,red
257,257,red
258,258,yellow
259,259,gray
260,260,green
261,261,yellow
262,262,orange
263,263,white
264,264,red
265,265,gray
266,266,orange
267,267,white
268,268,orange
269,269,black
270,270,orange
271,271,blue
272,272,purple
273,273,yellow
274,274,red
275,275,black
276,276,green
277,277,red
278,278,pink
279,279,black
280,280,red
281,281,red
282,282,pink
283,283,red
284,284,pink
285,285,green
286,286,blue
287,287,red
288,288,green
289,289,purple
290,290,purple
291,291,gray
292,292,orange
293,293,purple
294,294,white
295,295,white
296,296,black
297,297,black
298,298,black
299,299,gray
300,300,yellow
301,301,red
302,302,green
303,303,yellow
304,304,green
305,305,black
306,306,gray
307,307,white
308,308,black
309,309,black
