,name,color
0,0,purple
1,1,orange
2,2,orange
3,3,white
4,4,yellow
5,5,red
6,6,green
7,7,purple
8,8,white
9,9,purple
10,10,blue
11,11,pink
12,12,black
13,13,green
14,14,pink
15,15,blue
16,16,red
17,17,blue
18,18,purple
19,19,pink
20,20,blue
21,21,pink
22,22,orange
23,23,red
24,24,gray
25,25,yellow
26,26,red
27,27,yellow
28,28,white
29,29,green
30,30,pink
31,31,pink
32,32,blue
33,33,gray
34,34,white
35,35,pink
36,36,orange
37,37,pink
38,38,black
39,39,white
40,40,green
41,41,blue
42,42,white
43,43,black
44,44,green
45,45,white
46,46,red
47,47,pink
48,48,green
49,49,purple
50,50,red
51,51,green
52,52,gray
53,53,green
54,54,pink
55,55,green
56,56,red
57,57,red
58,58,green
59,59,black
60,60,orange
61,61,purple
62,62,pink
63,63,orange
64,64,pink
65,65,white
66,66,green
67,67,blue
68,68,orange
69,69,white
70,70,purple
71,71,yellow
72,72,white
73,73,purple
74,74,purple
75,75,blue
76,76,purple
77,77,pink
78,78,yellow
79,79,orange
80,80,green
81,81,black
82,82,orange
83,83,green
84,84,purple
85,85,pink
86,86,blue
87,87,red
88,88,orange
89,89,white
90,90,purple
91,91,red
92,92,black
93,93,pink
94,94,green
95,95,black
96,96,black
97,97,orange
98,98,black
99,99,green
100,100,gray
101,101,white
102,102,green
103,103,purple
104,104,blue
105,105,orange
106,106,yellow
107,107,white
108,108,blue
109,109,green
110,110,purple
111,111,orange
112,112,red
113,113,gray
114,114,pink
115,115,black
116,116,green
117,117,yellow
118,118,green
119,119,green
120,120,pink
121,121,orange
122,122,green
123,123,blue
124,124,gray
125,125,blue
126,126,orange
127,127,red
128,128,blue
129,129,red
130,130,gray
131,131,white
132,132,purple
133,133,blue
134,134,white
135,135,black
136,136,pink
137,137,gray
138,138,blue
139,139,white
140,140,gray
141,141,yellow
142,142,black
143,143,yellow
144,144,black
145,145,black
146,146,pink
147,147,green
148,148,purple
149,149,orange
150,150,gray
151,151,purple
152,152,black
153,153,yellow
154,154,white
155,155,pink
156,156,green
157,157,black
158,158,purple
159,159,red
160,160,green
161,161,green
162,162,black
163,163,green
164,164,purple
165,165,blue
166,166,green
167,167,pink
168,168,red
169,169,yellow
170,170,black
171,171,purple
172,172,gray
173,173,yellow
174,174,purple
175,175,black
176,176,white
177,177,red
178,178,yellow
179,179,red
180,180,pink
181,181,gray
182,182,black
183,183,yellow
184,184,blue
185,185,purple
186,186,white
187,187,yellow
188,188,orange
189,189,gray
190,190,purple
191,191,purple
192,192,gray
193,193,white
194,194,white
195,195,gray
196,196,gray
197,197,orange
198,198,orange
199,199,black
200,200,black
201,201,red
202,202,red
203,203,green
204,204,blue
205,205,orange
206,206,orange
207,207,black
208,208,gray
209,209,green
210,210,yellow
211,211,red
212,212,pink
213,213,red
214,214,white
215,215,yellow
216,216,blue
217,217,black
218,218,black
219,219,black
220,220,black
221,221,gray
222,222,red
223,223,yellow
224,224,green
225,225,purple
226,226,yellow
227,227,gray
228,228,orange
229,229,green
230,230,black
231,231,blue
232,232,green
233,233,purple
234,234,orange
235,235,gray
236,236,orange
237,237,orange
238,238,purple
239,239,yellow
240,240,purple
241,241,pink
242,242,purple
243,243,white
244,244,white
245,245,white
246,246,gray
247,247,black
248,248,black
249,249,black
250,250,gray
251,251,green
252,252,blue
253,253,yellow
254,254,white
255,255,purple
256,256,purple
257,257,orange
258,258,pink
259,259,blue
260,260,pink
261,261,orange
262,262,blue
263,263,green
264,264,yellow
265,265,gray
266,266,gray
267,267,gray
268,268,purple
269,269,white
270,270,yellow
271,271,green
272,272,purple
273,273,orange
274,274,gray
275,275,green
276,276,yellow
277,277,blue
278,278,black
279,279,gray
280,280,white
281,281,black
282,282,gray
283,283,purple
284,284,purple
285,285,blue
286,286,blue
287,287,gray
288,288,black
289,289,green
290,290,white
291,291,white
292,292,pink
293,293,yellow
294,294,black
295,295,black
296,296,red
297,297,green
